_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
68b5fd17eff67c4fdc702cc9,,110.35,98.57,110.35,84.51,138;0;0;0,time,15,-1,1,15.01,0,9.94,false,false,english,,normal,false,false,false,,1756757271000
68b5fcf8eff67c4fdc702c01,,123.8,100,123.8,61,54;0;0;0,words,10,-1,3,5.23,0,10,false,false,english,,normal,false,false,false,,1756757240000
68b5fce2eff67c4fdc702b70,,123.8,100,123.8,79.93,49;0;0;0,words,10,-1,2,4.75,0,8,false,false,english,,normal,false,false,false,,1756757218000
68b4934ceff67c4fdc6567fa,,131.66,100,131.66,70.22,47;0;0;0,words,10,-1,4,4.28,0,17.25,false,false,english,,normal,false,false,false,,1756664652000
68b49306eff67c4fdc656622,,115.2,100,115.2,82.24,144;0;0;0,time,15,-1,5,15,0,25.25,false,false,english,,normal,false,false,false,,1756664582000
68b33157eff67c4fdc5c4179,,114.4,100,114.4,86.81,143;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1756574039000
68b33142eff67c4fdc5c40ce,,111.18,99.29,111.18,82.21,139;0;0;0,time,15,-1,3,15,0,24.01,false,false,english,,normal,false,false,false,,1756574018000
68601c0a7bfbbdfc151c0d03,,111.2,98.59,112.8,87.28,139;1;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1751129098000
68601bf97bfbbdfc151c0c6b,,104.78,98.5,104.78,69.22,131;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1751129081000
686018817bfbbdfc151bed4f,,119.01,100,119.01,83.03,54;0;0;0,words,10,-1,2,5.45,0,7.43,false,false,english,,normal,false,false,false,,1751128193000
6860186f7bfbbdfc151becb8,,109.06,97.92,109.06,54.41,47;0;0;0,words,10,-1,2,5.17,0,7.29,false,false,english,,normal,false,false,false,,1751128175000
6860185f7bfbbdfc151bec17,,122.33,100,122.33,87.75,51;0;0;0,words,10,-1,5,5,1,13.67,false,false,english,,normal,false,false,false,,1751128159000
686018447bfbbdfc151beb0a,,131.74,100,131.74,93.29,51;0;0;0,words,10,-1,1,4.65,0,1.58,false,false,english,,normal,false,false,false,,1751128132000
686017f17bfbbdfc151be7ae,,128.43,98,128.43,85.07,49;0;0;0,words,10,-1,0,4.58,0,0,false,false,english,,normal,false,false,false,,1751128049000
686017ea7bfbbdfc151be766,,119.5,100,119.5,64.29,54;0;0;0,words,10,-1,0,5.42,0,0,false,false,english,,normal,false,false,false,,1751128042000
686017d57bfbbdfc151be6b5,,125.26,100,125.26,83.55,60;0;0;0,words,10,-1,0,5.75,0,0,false,false,english,,normal,false,false,false,,1751128021000
686017cb7bfbbdfc151be651,,111,93.62,121.57,83.2,42;0;1;0,words,10,-1,0,4.54,0,0,false,false,english,,normal,false,false,false,,1751128011000
686002e77bfbbdfc151b1b06,true,142.82,100,142.82,91.15,56;0;0;0,words,10,-1,1,4.71,0,1.14,false,false,english,,normal,false,false,false,,1751122663000
686002e07bfbbdfc151b1ac2,,113.46,100,113.46,78.91,54;0;0;0,words,10,-1,1,5.71,0,1.52,false,false,english,,normal,false,false,false,,1751122656000
686002a97bfbbdfc151b18a2,,112.8,99.3,112.8,83.25,141;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1751122601000
686002967bfbbdfc151b17f5,,106.3,99.25,106.3,76,133;0;0;0,time,15,-1,7,15.01,0,28.91,false,false,english,,normal,false,false,false,,1751122582000
683362d6df21a5c1dae718ad,,116.76,100,116.76,86.75,146;0;0;0,time,15,-1,8,15,0,20.8,false,false,english,,normal,false,false,false,,1748198102000
68336296df21a5c1dae71662,,112,98.59,112,82.38,140;0;0;0,time,15,-1,1,15,0,3.09,false,false,english,,normal,false,false,false,,1748198038000
68336281df21a5c1dae7157d,,103.9,97.74,103.9,82.11,130;0;0;0,time,15,-1,2,15.02,0,8.39,false,false,english,,normal,false,false,false,,1748198017000
6833625adf21a5c1dae71405,,114.4,97.97,118.4,86.73,143;2;0;3,time,15,-1,4,15,0,20.35,false,false,english,,normal,false,false,false,,1748197978000
6833622cdf21a5c1dae71250,,117.59,98.68,120.79,88.84,147;1;0;1,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1748197932000
67ec1c091d4f6d42a87a4fa0,,115.92,100,115.92,86.56,145;0;0;0,time,15,-1,0,15.01,0,0,false,false,english,,normal,false,false,false,,1743526921000
67ec1b151d4f6d42a87a3efb,,90.33,95.12,90.33,70.06,113;0;0;0,time,15,-1,0,15.01,0,0,false,false,english,,normal,false,false,false,,1743526677000
6778544f9894964293e6453e,,100.77,97.67,100.77,78.86,126;0;0;0,time,15,-1,1,15,0,6.66,false,false,english,,normal,false,false,false,,1735939151000
67782dca9894964293e4d3ed,,104.76,97.04,106.36,80.97,131;2;0;0,time,15,-1,6,15.01,0,26.99,false,false,english,,normal,false,false,false,,1735929290000
677829cb9894964293e4a94b,,107.99,97.12,111.19,80.11,135;3;0;1,time,15,-1,2,15,0,9.23,false,false,english,,normal,false,false,false,,1735928267000
677829b09894964293e4a831,,89.59,94.17,89.59,59.97,112;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1735928240000
6778270a9894964293e48ab9,,103.16,97.74,103.16,79.06,129;0;0;0,time,15,-1,1,15.01,0,2.58,false,false,english,,normal,false,false,false,,1735927562000
677825f19894964293e47d9e,,120.8,100,120.8,90.78,151;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1735927281000
6770236f98949642939fd372,,123.91,100,123.91,86.01,155;0;0;0,time,15,-1,24,15.01,0,106.71,false,false,english,,normal,false,false,false,,1735402351000
677022a198949642939fcb60,,97.58,98.41,99.97,75.1,122;0;0;1,time,15,-1,14,15,0,45.54,false,false,english,,normal,false,false,false,,1735402145000
6770210198949642939fba66,,86.8,92,104.16,69.35,40;2;0;0,words,10,-1,19,5.53,0,37.93,false,false,english,,normal,false,false,false,,1735401729000
6770209f98949642939fb63c,,133.07,100,133.07,80.21,49;0;0;0,words,10,-1,3,4.42,0,5.4,false,false,english,,normal,false,false,false,,1735401631000
6770207898949642939fb480,,126.33,100,126.33,76.31,56;0;0;0,words,10,-1,3,5.32,0,6.08,false,false,english,,normal,false,false,false,,1735401592000
6770205f98949642939fb360,,138.93,100,138.93,92.12,55;0;0;0,words,10,-1,19,4.75,0,37.99,false,false,english,,normal,false,false,false,,1735401567000
67701f6398949642939fa810,,122.93,100,122.93,60.69,43;0;0;0,words,10,-1,1,4.2,0,1.49,false,false,english,,normal,false,false,false,,1735401315000
67701f5b98949642939fa7ba,,118.34,100,118.34,78.22,45;0;0;0,words,10,-1,4,4.56,0,9.63,false,false,english,,normal,false,false,false,,1735401307000
67701f4498949642939fa6c2,,128.29,100,128.29,82.89,49;0;0;0,words,10,-1,0,4.58,0,0,false,false,english,,normal,false,false,false,,1735401284000
67701f3598949642939fa622,,112.06,100,112.06,75.13,41;0;0;0,words,10,-1,0,4.39,0,0,false,false,english,,normal,false,false,false,,1735401269000
67701f2d98949642939fa5cf,,121.65,100,121.65,92.97,49;0;0;0,words,10,-1,0,4.83,0,0,false,false,english,,normal,false,false,false,,1735401261000
67701f2598949642939fa57f,,124.47,100,124.47,88.29,58;0;0;0,words,10,-1,4,5.59,0,7.67,false,false,english,,normal,false,false,false,,1735401253000
67701eaf98949642939fa08a,,116.72,100,116.72,69,52;0;0;0,words,10,-1,7,5.35,0,15.3,false,false,english,,normal,false,false,false,,1735401135000
67701e6298949642939f9d81,,103.11,98.04,103.11,77.9,50;0;0;0,words,10,-1,7,5.82,0,22.17,false,false,english,,normal,false,false,false,,1735401058000
67701e2398949642939f9aeb,,132.72,100,132.72,59.62,56;0;0;0,words,10,-1,0,5.06,0,0,false,false,english,,normal,false,false,false,,1735400995000
